,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
784464,A-784543,MapQuest,201.0,2,2020-06-04 06:35:28,2020-06-04 07:35:07,33.427009999999996,-79.29155,,,0.0,Accident on SC-51 Browns Ferry Rd at Pringle Ferry Rd.,798.0,Browns Ferry Rd,R,Georgetown,Georgetown,SC,29440-2080,US,US/Eastern,KGGE,2020-06-04 06:35:00,66.0,66.0,94.0,29.97,,CALM,0.0,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3925438,A-3932302,Bing,,4,2019-01-25 21:33:26,2019-01-25 22:02:44,42.014603,-72.45079799999999,41.9992,-72.45306,1.071,Closed at Avery Rd - Road closed due to accident.,447.0, Springfield Rd,R,Somers,Tolland,CT,06071-1614,US,US/Eastern,KBDL,2019-01-25 21:51:00,25.0,17.1,58.0,30.09,10.0,North,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3519309,A-3526106,Bing,,3,2020-06-26 13:09:29,2020-06-26 13:24:29,33.91553,-118.07831000000002,33.91553,-118.07831000000002,0.0,At Imperial Hwy/Exit 122 - Accident. Hard shoulder blocked.,,I-5 N,R,Norwalk,Los Angeles,CA,90650,US,US/Pacific,KFUL,2020-06-26 12:53:00,82.0,82.0,47.0,29.78,9.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
534064,A-534085,MapQuest,201.0,2,2020-12-14 16:50:02,2020-12-14 17:49:28,34.898022,-82.08429,,,0.0,Accident on Shoals Rd near Commodore Dr.,696.0,Shoals Rd,L,Duncan,Spartanburg,SC,29334-9284,US,US/Eastern,KGSP,2020-12-14 16:53:00,49.0,45.0,52.0,28.99,10.0,NNW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1630749,A-1630857,MapQuest,201.0,2,2019-01-09 10:00:18,2019-01-09 10:30:08,42.351742,-87.844818,,,0.0,Accident on IL-120 Belvidere St at Jackson St.,1100.0,Belvidere Rd,R,Waukegan,Lake,IL,60085-6202,US,US/Central,KUGN,2019-01-09 09:55:00,19.0,4.5,57.0,30.29,10.0,NW,16.1,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
4222909,A-4229775,Bing,,2,2019-08-02 16:37:35,2019-08-02 20:37:35,42.618431,-123.380762,42.613964,-123.37999599999999,0.311,At Monument Dr/Exit 66 - Accident.,,I-5 S,R,Wolf Creek,Josephine,OR,97497,US,US/Pacific,KSXT,2019-08-02 16:56:00,79.0,79.0,40.0,26.23,10.0,N,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1182409,A-1182512,MapQuest,201.0,2,2019-09-25 10:36:24,2019-09-25 12:19:17,39.953171000000005,-82.96714,,,0.0,Accident on Wilson Ave both ways between Newton Ave and Mooberry St.,1158.0,Mooberry St,L,Columbus,Franklin,OH,43205,US,US/Eastern,KCMH,2019-09-25 10:51:00,71.0,71.0,44.0,29.05,10.0,S,13.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3620354,A-3627183,Bing,,2,2020-04-08 13:36:22,2020-04-08 13:51:22,40.12923,-75.0249,40.12923,-75.0249,0.0,At PA-63/Red Lion Rd - Accident.,1.0, Byberry Rd,R,Huntingdon Valley,Montgomery,PA,19006-4104,US,US/Eastern,KPNE,2020-04-08 13:54:00,72.0,72.0,46.0,29.44,10.0,W,15.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
3912145,A-3919009,Bing,,2,2019-01-02 12:52:45,2019-01-02 13:22:12,42.865363,-82.553557,42.86312,-82.55676,0.22399999999999998,At Wadhams Rd/Exit 262 - Accident.,,I-94 W,R,Saint Clair,St. Clair,MI,48079,US,US/Eastern,KPHN,2019-01-02 12:55:00,28.4,22.2,80.0,30.15,10.0,SSE,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
990635,A-990729,MapQuest,201.0,2,2019-12-01 08:05:42,2019-12-01 08:35:27,35.281063,-80.898811,,,0.0,Accident on NC-16 Brookshire Blvd both ways at Oakdale Rd.,5704.0,Brookshire Blvd,L,Charlotte,Mecklenburg,NC,28216-3383,US,US/Eastern,KCLT,2019-12-01 08:04:00,56.0,56.0,93.0,28.89,2.0,WNW,8.0,0.0,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
941589,A-941682,MapQuest-Bing,201.0,2,2020-02-08 06:58:51,2020-02-08 07:47:30,36.203468,-119.42115,,,0.0,Accident on CA-137 at CR-J25 Road 68.,22521.0,Road 68,L,Tulare,Tulare,CA,93274,US,US/Pacific,KVIS,2020-02-08 06:56:00,35.0,35.0,96.0,29.78,5.0,ESE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
4161285,A-4168151,Bing,,2,2019-04-09 08:58:11,2019-04-09 09:27:32,33.73985,-117.83121000000001,33.74215,-117.8376,0.4,At CA-55 - Accident. Left lane blocked.,,I-5 N,R,Tustin,Orange,CA,92780,US,US/Pacific,KSNA,2019-04-09 09:00:00,64.0,64.0,78.0,29.95,8.0,S,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3322842,A-3328215,Bing,,2,2020-11-14 22:59:22,2020-11-15 01:56:58,27.960520000000002,-82.759807,27.960646999999998,-82.75980899999999,0.009000000000000001,Incident on CORONA AVE S near GULF BAY Drive with caution.,1875.0, Gulf to Bay Blvd,R,Clearwater,Pinellas,FL,33765-3417,US,US/Eastern,KPIE,2020-11-14 22:53:00,75.0,75.0,87.0,30.05,10.0,E,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
698707,A-698741,MapQuest,201.0,3,2020-07-22 09:03:53,2020-07-22 10:50:39,42.222485,-71.032249,,,3.43000006676,Accident on I-93 Northbound between MA-28 Randolph Ave and Granite St.,,I-93 S,R,Braintree,Norfolk,MA,02184,US,US/Eastern,KMQE,2020-07-22 08:53:00,72.0,72.0,81.0,30.03,10.0,CALM,0.0,0.05,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3892539,A-3899403,Bing,,4,2019-03-01 04:17:13,2019-03-01 04:47:04,41.050779999999996,-76.84477,41.04987,-76.84119,0.19699999999999998,Ramp closed to I-180 Eastbound and PA-147 Northbound - Road closed due to accident.,,I-80 E,R,Milton,Northumberland,PA,17847,US,US/Eastern,KSEG,2019-03-01 04:32:00,26.1,21.9,88.0,30.26,2.5,East,3.5,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3686278,A-3693128,Bing,,2,2020-01-18 05:25:00,2020-01-18 10:37:06,34.9375,-118.928611,34.9375,-118.928611,0.0,At Grapevine Rd - Accident.,,Golden State Fwy N,R,Lebec,Kern,CA,93243,US,US/Pacific,KSDB,2020-01-18 05:53:00,39.0,28.0,41.0,25.63,10.0,ENE,28.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3455466,A-3462252,Bing,,2,2020-06-03 17:57:49,2020-06-03 18:42:49,35.05533,-85.20017,35.05533,-85.20017,0.0,At Shallowford Rd - Accident.,,Jersey Pike,R,Chattanooga,Hamilton,TN,37421,US,US/Eastern,KCHA,2020-06-03 17:53:00,86.0,86.0,57.0,29.19,10.0,WNW,6.0,0.0,Cloudy,False,False,True,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day
3781664,A-3788525,Bing,,2,2019-12-22 06:38:00,2019-12-22 07:52:35,37.673178,-122.47446000000001,37.673178,-122.47446000000001,0.0,At Clarinada Ave/Serramonte Blvd - Accident.,,CA-1 N,R,Daly City,San Mateo,CA,94015,US,US/Pacific,KSFO,2019-12-22 06:56:00,53.0,53.0,86.0,29.66,7.0,ESE,13.0,0.14,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
1229382,A-1229485,MapQuest,201.0,3,2019-08-21 17:18:07,2019-08-21 18:17:58,45.063412,-93.162308,,,0.0,Accident on I-694 Westbound at Exit 42B MN-51.,,US-10 E,R,Saint Paul,Ramsey,MN,55112,US,US/Central,KANE,2019-08-21 17:45:00,73.0,73.0,47.0,29.06,10.0,NW,13.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1367383,A-1367486,MapQuest,201.0,2,2019-06-20 05:40:04,2019-06-20 07:09:48,37.598831,-115.224281,,,0.0,Accident on NV-318 Northbound at Cannon Ranch Rd.,,Cannon Ranch Rd,R,Hiko,Lincoln,NV,89017,US,US/Pacific,KP38,2019-06-20 05:56:00,77.0,77.0,18.0,26.87,10.0,ESE,9.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3774567,A-3781428,Bing,,2,2019-12-17 07:18:00,2019-12-17 07:49:46,38.625097,-121.51721299999998,38.625097,-121.51721299999998,0.0,At I-5/CA-99 - Accident.,,CA-16 E,R,Sacramento,Sacramento,CA,95833,US,US/Pacific,KMCC,2019-12-17 06:50:00,39.0,39.0,87.0,30.18,10.0,CALM,0.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1430345,A-1430450,MapQuest,201.0,2,2019-05-28 18:08:38,2019-05-28 19:23:26,35.211449,-80.686699,,,0.0,Accident on NC-24 Albemarle Rd at Harrisburg Rd.,,Albemarle Rd,R,Charlotte,Mecklenburg,NC,28227,US,US/Eastern,KEQY,2019-05-28 17:53:00,94.0,94.0,28.0,29.12,10.0,WSW,15.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
3519006,A-3525803,Bing,,2,2020-06-26 16:48:30,2020-06-26 17:23:58,37.75311,-122.4028,37.7545,-122.40293999999999,0.096,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2020-06-26 16:53:00,69.0,69.0,65.0,29.86,10.0,WNW,18.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3080143,A-3082108,Bing,,2,2020-10-07 02:56:00,2020-10-07 04:16:52,40.639604,-74.204261,40.639099,-74.20371800000001,0.045,Incident on GOETHALS BRG EB near NEW JERSEY TPKE Right lane blocked. Expect delays.,,Goethals,R,Elizabeth,Union,NJ,07202,US,US/Eastern,KLDJ,2020-10-07 02:55:00,58.0,58.0,82.0,29.87,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
1252708,A-1252811,MapQuest,201.0,2,2019-07-03 19:26:29,2019-07-03 20:40:44,40.709564,-74.001335,,,0.0,Left lane blocked due to accident on Brooklyn Brg Eastbound at Fdr Dr Exit 2.,,Brooklyn Bridge Walkway,R,New York,New York,NY,10038,US,US/Eastern,KJRB,2019-07-03 19:51:00,82.0,82.0,62.0,29.73,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
3904788,A-3911652,Bing,,4,2019-02-17 07:07:14,2019-02-17 07:36:46,40.70345,-73.48931,40.69829,-73.49188000000001,0.381,Closed at Southern Pky/Exit 4 - Road closed due to accident.,,Seaford Oyster Bay Expy S,R,Seaford,Nassau,NY,11783,US,US/Eastern,KFRG,2019-02-17 06:53:00,24.1,16.0,65.0,30.11,10.0,North,6.9,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
4211481,A-4218347,Bing,,2,2019-07-10 19:20:28,2019-07-10 19:50:25,39.27361,-76.62145,39.26717,-76.61945,0.45799999999999996,Ramp to Northbound I-395 Acc/Exit 53 - Accident. Left lane blocked.,,I-395 N,R,Baltimore,Baltimore City,MD,21230,US,US/Eastern,KDMH,2019-07-10 18:54:00,85.0,,55.0,29.97,,,,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
639252,A-639280,MapQuest,201.0,2,2020-10-11 01:57:02,2020-10-11 05:00:23,39.069012,-121.63343,,,0.0,Accident on CA-99 both ways at Oswald Rd.,,Sawtelle Ave,R,Yuba City,Sutter,CA,95991,US,US/Pacific,KMYV,2020-10-11 01:53:00,58.0,58.0,87.0,29.94,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
752224,A-752301,MapQuest,201.0,2,2020-05-26 16:28:37,2020-05-26 17:44:42,36.080349,-86.68573,,,0.0,Accident on Cherokee Ct at Franklin Limestone Rd.,1496.0,Antioch Pike,L,Antioch,Davidson,TN,37013-2711,US,US/Central,KBNA,2020-05-26 16:53:00,81.0,81.0,56.0,29.32,10.0,SE,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1426632,A-1426737,MapQuest,201.0,2,2019-05-24 16:56:56,2019-05-24 17:26:32,33.597134000000004,-112.00946,,,0.0,Right lane blocked due to accident on AZ-51 Southbound at Exit 10 Cactus Rd.,,E Cactus Rd,R,Phoenix,Maricopa,AZ,85032,US,US/Mountain,KSDL,2019-05-24 16:53:00,84.0,84.0,10.0,28.19,10.0,SSW,8.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
2980505,A-2981028,Bing,,2,2020-11-30 20:27:30.000000000,2020-11-30 22:21:00.000000000,39.63374,-78.908925,39.638874,-78.86273800000001,2.483,Stationary traffic on US-40 E - National Fwy E - I-68 E from MD-36/Exit 34 (I-68) to US-40/Exit 39 (I-68) due to accident.,,I-68 E,R,Frostburg,Allegany,MD,21532,US,US/Eastern,KCBE,2020-11-30 20:35:00,44.0,41.0,68.0,28.73,10.0,WSW,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
1515418,A-1515524,MapQuest,201.0,2,2019-03-10 13:43:57,2019-03-10 14:13:42,35.589409,-97.61241899999999,,,0.0,Accident on Wileman Way at 117th St.,4009.0,NW 117th St,L,Oklahoma City,Oklahoma,OK,73162,US,US/Central,KPWA,2019-03-10 13:53:00,44.1,38.6,49.0,30.25,10.0,NNE,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1192161,A-1192264,MapQuest,201.0,2,2019-09-02 06:01:15,2019-09-02 07:01:00,41.852001,-87.685638,,,0.0,Accident on Cermak Rd at Western Ave.,,W Cermak Rd,R,Chicago,Cook,IL,60608,US,US/Central,KMDW,2019-09-02 05:53:00,63.0,63.0,93.0,29.44,4.0,W,3.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,True,False,Night,Day,Day,Day
3522337,A-3529134,Bing,,2,2020-06-28 10:44:00,2020-06-28 12:55:22,36.992878000000005,-122.019449,36.992878000000005,-122.019449,0.0,At CA-1/Exit 1B - Accident.,,CA-17 S,R,Santa Cruz,Santa Cruz,CA,95060,US,US/Pacific,KWVI,2020-06-28 10:53:00,60.0,60.0,72.0,29.68,10.0,SW,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
738530,A-738607,MapQuest,201.0,3,2020-08-23 12:22:27,2020-08-23 14:01:55,33.995585999999996,-118.14513400000001,,,0.0,#1 lane blocked due to accident on I-5 Northbound at Exit 128A Telegraph Rd.,,I-5 N,R,Los Angeles,Los Angeles,CA,90040,US,US/Pacific,KCQT,2020-08-23 12:52:00,88.0,88.0,55.0,29.66,6.0,CALM,0.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1506310,A-1506416,MapQuest,201.0,2,2019-03-05 16:51:23,2019-03-05 17:20:44,29.702045000000002,-95.277885,,,0.0,Accident on Broadway St at Loop Fwy.,,Broadway St,R,Houston,Harris,TX,77017,US,US/Central,KHOU,2019-03-05 16:53:00,50.0,,28.0,30.44,10.0,NNW,11.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
963906,A-964000,MapQuest-Bing,201.0,2,2020-02-19 23:49:57,2020-02-20 01:35:07,37.966282,-122.309402,,,0.0,Accident on San Pablo Dam Rd at Appian Way.,4103.0,Appian Way,L,El Sobrante,Contra Costa,CA,94803-2201,US,US/Pacific,KCCR,2020-02-19 23:53:00,47.0,47.0,63.0,30.05,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
1369377,A-1369480,MapQuest,201.0,3,2019-06-21 16:55:50,2019-06-21 18:07:24,29.28175,-98.394989,,,0.0,Accident on I-37 Southbound at Southton Rd.,13900.0,Southton Rd,L,Elmendorf,Bexar,TX,78112,US,US/Central,KSSF,2019-06-21 16:53:00,96.0,96.0,41.0,29.15,10.0,SE,18.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
654447,A-654475,MapQuest,201.0,3,2020-10-21 06:57:38,2020-10-21 07:26:45,25.78965,-80.206078,,,1.2200000286100001,Exit ramp from I-95 Southbound at Exits 2D 3A 3B to FL-836-TOLL lane blocked due to accident.,,Dolphin Expy W,R,Miami,Miami-Dade,FL,33136,US,US/Eastern,KMIA,2020-10-21 06:53:00,75.0,75.0,90.0,29.92,5.0,ENE,17.0,0.03,Light Rain,False,False,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Day,Day
2975910,A-2976362,Bing,,2,2020-10-24 22:04:34,2020-10-25 00:01:35,26.115049,-80.314596,26.116639000000003,-80.321126,0.42,Incident on I-595 WB near EXIT 2 Drive with caution.,,I-595 W,R,Fort Lauderdale,Broward,FL,33325,US,US/Eastern,KHWO,2020-10-24 21:53:00,79.0,79.0,97.0,29.89,10.0,CALM,0.0,0.11,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
671795,A-671824,MapQuest,201.0,3,2020-08-31 00:58:37,2020-08-31 02:15:47,41.795071,-88.375504,,,0.0,Right lane blocked due to accident on I-88 Westbound at Exit 114 Orchard Rd.,,Chicago-Kansas City Expressway W,R,Aurora,Kane,IL,60506,US,US/Central,KARR,2020-08-31 00:52:00,62.0,62.0,86.0,29.1,10.0,SE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
