,ID,Source,TMC,Severity,Start_Time,End_Time,lat,long,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
784464,A-784543,MapQuest,201,2,6/4/2020 6:35,6/4/2020 7:35,33.42701,-79.29155,,,0,Accident on SC-51 Browns Ferry Rd at Pringle Ferry Rd.,798,Browns Ferry Rd,R,Georgetown,Georgetown,SC,29440-2080,US,US/Eastern,KGGE,6/4/2020 6:35,66,66,94,29.97,,CALM,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3925438,A-3932302,Bing,,4,1/25/2019 21:33,1/25/2019 22:02,42.014603,-72.450798,41.9992,-72.45306,1.071,Closed at Avery Rd - Road closed due to accident.,447, Springfield Rd,R,Somers,Tolland,CT,06071-1614,US,US/Eastern,KBDL,1/25/2019 21:51,25,17.1,58,30.09,10,North,6.9,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
3519309,A-3526106,Bing,,3,6/26/2020 13:09,6/26/2020 13:24,33.91553,-118.07831,33.91553,-118.07831,0,At Imperial Hwy/Exit 122 - Accident. Hard shoulder blocked.,,I-5 N,R,Norwalk,Los Angeles,CA,90650,US,US/Pacific,KFUL,6/26/2020 12:53,82,82,47,29.78,9,VAR,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
534064,A-534085,MapQuest,201,2,12/14/2020 16:50,12/14/2020 17:49,34.898022,-82.08429,,,0,Accident on Shoals Rd near Commodore Dr.,696,Shoals Rd,L,Duncan,Spartanburg,SC,29334-9284,US,US/Eastern,KGSP,12/14/2020 16:53,49,45,52,28.99,10,NNW,10,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
1630749,A-1630857,MapQuest,201,2,1/9/2019 10:00,1/9/2019 10:30,42.351742,-87.844818,,,0,Accident on IL-120 Belvidere St at Jackson St.,1100,Belvidere Rd,R,Waukegan,Lake,IL,60085-6202,US,US/Central,KUGN,1/9/2019 9:55,19,4.5,57,30.29,10,NW,16.1,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
4222909,A-4229775,Bing,,2,8/2/2019 16:37,8/2/2019 20:37,42.618431,-123.380762,42.613964,-123.379996,0.311,At Monument Dr/Exit 66 - Accident.,,I-5 S,R,Wolf Creek,Josephine,OR,97497,US,US/Pacific,KSXT,8/2/2019 16:56,79,79,40,26.23,10,N,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
1182409,A-1182512,MapQuest,201,2,9/25/2019 10:36,9/25/2019 12:19,39.953171,-82.96714,,,0,Accident on Wilson Ave both ways between Newton Ave and Mooberry St.,1158,Mooberry St,L,Columbus,Franklin,OH,43205,US,US/Eastern,KCMH,9/25/2019 10:51,71,71,44,29.05,10,S,13,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3620354,A-3627183,Bing,,2,4/8/2020 13:36,4/8/2020 13:51,40.12923,-75.0249,40.12923,-75.0249,0,At PA-63/Red Lion Rd - Accident.,1, Byberry Rd,R,Huntingdon Valley,Montgomery,PA,19006-4104,US,US/Eastern,KPNE,4/8/2020 13:54,72,72,46,29.44,10,W,15,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
3912145,A-3919009,Bing,,2,1/2/2019 12:52,1/2/2019 13:22,42.865363,-82.553557,42.86312,-82.55676,0.224,At Wadhams Rd/Exit 262 - Accident.,,I-94 W,R,Saint Clair,St. Clair,MI,48079,US,US/Eastern,KPHN,1/2/2019 12:55,28.4,22.2,80,30.15,10,SSE,5.8,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
990635,A-990729,MapQuest,201,2,12/1/2019 8:05,12/1/2019 8:35,35.281063,-80.898811,,,0,Accident on NC-16 Brookshire Blvd both ways at Oakdale Rd.,5704,Brookshire Blvd,L,Charlotte,Mecklenburg,NC,28216-3383,US,US/Eastern,KCLT,12/1/2019 8:04,56,56,93,28.89,2,WNW,8,0,Heavy Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
941589,A-941682,MapQuest-Bing,201,2,2/8/2020 6:58,2/8/2020 7:47,36.203468,-119.42115,,,0,Accident on CA-137 at CR-J25 Road 68.,22521,Road 68,L,Tulare,Tulare,CA,93274,US,US/Pacific,KVIS,2/8/2020 6:56,35,35,96,29.78,5,ESE,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
4161285,A-4168151,Bing,,2,4/9/2019 8:58,4/9/2019 9:27,33.73985,-117.83121,33.74215,-117.8376,0.4,At CA-55 - Accident. Left lane blocked.,,I-5 N,R,Tustin,Orange,CA,92780,US,US/Pacific,KSNA,4/9/2019 9:00,64,64,78,29.95,8,S,7,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3322842,A-3328215,Bing,,2,11/14/2020 22:59,11/15/2020 1:56,27.96052,-82.759807,27.960647,-82.759809,0.009,Incident on CORONA AVE S near GULF BAY Drive with caution.,1875, Gulf to Bay Blvd,R,Clearwater,Pinellas,FL,33765-3417,US,US/Eastern,KPIE,11/14/2020 22:53,75,75,87,30.05,10,E,9,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
698707,A-698741,MapQuest,201,3,7/22/2020 9:03,7/22/2020 10:50,42.222485,-71.032249,,,3.430000067,Accident on I-93 Northbound between MA-28 Randolph Ave and Granite St.,,I-93 S,R,Braintree,Norfolk,MA,2184,US,US/Eastern,KMQE,7/22/2020 8:53,72,72,81,30.03,10,CALM,0,0.05,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3892539,A-3899403,Bing,,4,3/1/2019 4:17,3/1/2019 4:47,41.05078,-76.84477,41.04987,-76.84119,0.197,Ramp closed to I-180 Eastbound and PA-147 Northbound - Road closed due to accident.,,I-80 E,R,Milton,Northumberland,PA,17847,US,US/Eastern,KSEG,3/1/2019 4:32,26.1,21.9,88,30.26,2.5,East,3.5,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
3686278,A-3693128,Bing,,2,1/18/2020 5:25,1/18/2020 10:37,34.9375,-118.928611,34.9375,-118.928611,0,At Grapevine Rd - Accident.,,Golden State Fwy N,R,Lebec,Kern,CA,93243,US,US/Pacific,KSDB,1/18/2020 5:53,39,28,41,25.63,10,ENE,28,0,Fair / Windy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
3455466,A-3462252,Bing,,2,6/3/2020 17:57,6/3/2020 18:42,35.05533,-85.20017,35.05533,-85.20017,0,At Shallowford Rd - Accident.,,Jersey Pike,R,Chattanooga,Hamilton,TN,37421,US,US/Eastern,KCHA,6/3/2020 17:53,86,86,57,29.19,10,WNW,6,0,Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3781664,A-3788525,Bing,,2,12/22/2019 6:38,12/22/2019 7:52,37.673178,-122.47446,37.673178,-122.47446,0,At Clarinada Ave/Serramonte Blvd - Accident.,,CA-1 N,R,Daly City,San Mateo,CA,94015,US,US/Pacific,KSFO,12/22/2019 6:56,53,53,86,29.66,7,ESE,13,0.14,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
1229382,A-1229485,MapQuest,201,3,8/21/2019 17:18,8/21/2019 18:17,45.063412,-93.162308,,,0,Accident on I-694 Westbound at Exit 42B MN-51.,,US-10 E,R,Saint Paul,Ramsey,MN,55112,US,US/Central,KANE,8/21/2019 17:45,73,73,47,29.06,10,NW,13,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
1367383,A-1367486,MapQuest,201,2,6/20/2019 5:40,6/20/2019 7:09,37.598831,-115.224281,,,0,Accident on NV-318 Northbound at Cannon Ranch Rd.,,Cannon Ranch Rd,R,Hiko,Lincoln,NV,89017,US,US/Pacific,KP38,6/20/2019 5:56,77,77,18,26.87,10,ESE,9,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3774567,A-3781428,Bing,,2,12/17/2019 7:18,12/17/2019 7:49,38.625097,-121.517213,38.625097,-121.517213,0,At I-5/CA-99 - Accident.,,CA-16 E,R,Sacramento,Sacramento,CA,95833,US,US/Pacific,KMCC,12/17/2019 6:50,39,39,87,30.18,10,CALM,0,,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
1430345,A-1430450,MapQuest,201,2,5/28/2019 18:08,5/28/2019 19:23,35.211449,-80.686699,,,0,Accident on NC-24 Albemarle Rd at Harrisburg Rd.,,Albemarle Rd,R,Charlotte,Mecklenburg,NC,28227,US,US/Eastern,KEQY,5/28/2019 17:53,94,94,28,29.12,10,WSW,15,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
3519006,A-3525803,Bing,,2,6/26/2020 16:48,6/26/2020 17:23,37.75311,-122.4028,37.7545,-122.40294,0.096,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,6/26/2020 16:53,69,69,65,29.86,10,WNW,18,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3080143,A-3082108,Bing,,2,10/7/2020 2:56,10/7/2020 4:16,40.639604,-74.204261,40.639099,-74.203718,0.045,Incident on GOETHALS BRG EB near NEW JERSEY TPKE Right lane blocked. Expect delays.,,Goethals,R,Elizabeth,Union,NJ,7202,US,US/Eastern,KLDJ,10/7/2020 2:55,58,58,82,29.87,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
1252708,A-1252811,MapQuest,201,2,7/3/2019 19:26,7/3/2019 20:40,40.709564,-74.001335,,,0,Left lane blocked due to accident on Brooklyn Brg Eastbound at Fdr Dr Exit 2.,,Brooklyn Bridge Walkway,R,New York,New York,NY,10038,US,US/Eastern,KJRB,7/3/2019 19:51,82,82,62,29.73,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
3904788,A-3911652,Bing,,4,2/17/2019 7:07,2/17/2019 7:36,40.70345,-73.48931,40.69829,-73.49188,0.381,Closed at Southern Pky/Exit 4 - Road closed due to accident.,,Seaford Oyster Bay Expy S,R,Seaford,Nassau,NY,11783,US,US/Eastern,KFRG,2/17/2019 6:53,24.1,16,65,30.11,10,North,6.9,,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
4211481,A-4218347,Bing,,2,7/10/2019 19:20,7/10/2019 19:50,39.27361,-76.62145,39.26717,-76.61945,0.458,Ramp to Northbound I-395 Acc/Exit 53 - Accident. Left lane blocked.,,I-395 N,R,Baltimore,Baltimore City,MD,21230,US,US/Eastern,KDMH,7/10/2019 18:54,85,,55,29.97,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
639252,A-639280,MapQuest,201,2,10/11/2020 1:57,10/11/2020 5:00,39.069012,-121.63343,,,0,Accident on CA-99 both ways at Oswald Rd.,,Sawtelle Ave,R,Yuba City,Sutter,CA,95991,US,US/Pacific,KMYV,10/11/2020 1:53,58,58,87,29.94,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
752224,A-752301,MapQuest,201,2,5/26/2020 16:28,5/26/2020 17:44,36.080349,-86.68573,,,0,Accident on Cherokee Ct at Franklin Limestone Rd.,1496,Antioch Pike,L,Antioch,Davidson,TN,37013-2711,US,US/Central,KBNA,5/26/2020 16:53,81,81,56,29.32,10,SE,7,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
1426632,A-1426737,MapQuest,201,2,5/24/2019 16:56,5/24/2019 17:26,33.597134,-112.00946,,,0,Right lane blocked due to accident on AZ-51 Southbound at Exit 10 Cactus Rd.,,E Cactus Rd,R,Phoenix,Maricopa,AZ,85032,US,US/Mountain,KSDL,5/24/2019 16:53,84,84,10,28.19,10,SSW,8,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
2980505,A-2981028,Bing,,2,27:30.0,21:00.0,39.63374,-78.908925,39.638874,-78.862738,2.483,Stationary traffic on US-40 E - National Fwy E - I-68 E from MD-36/Exit 34 (I-68) to US-40/Exit 39 (I-68) due to accident.,,I-68 E,R,Frostburg,Allegany,MD,21532,US,US/Eastern,KCBE,11/30/2020 20:35,44,41,68,28.73,10,WSW,6,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
1515418,A-1515524,MapQuest,201,2,3/10/2019 13:43,3/10/2019 14:13,35.589409,-97.612419,,,0,Accident on Wileman Way at 117th St.,4009,NW 117th St,L,Oklahoma City,Oklahoma,OK,73162,US,US/Central,KPWA,3/10/2019 13:53,44.1,38.6,49,30.25,10,NNE,10.4,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
1192161,A-1192264,MapQuest,201,2,9/2/2019 6:01,9/2/2019 7:01,41.852001,-87.685638,,,0,Accident on Cermak Rd at Western Ave.,,W Cermak Rd,R,Chicago,Cook,IL,60608,US,US/Central,KMDW,9/2/2019 5:53,63,63,93,29.44,4,W,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Night,Day,Day,Day
3522337,A-3529134,Bing,,2,6/28/2020 10:44,6/28/2020 12:55,36.992878,-122.019449,36.992878,-122.019449,0,At CA-1/Exit 1B - Accident.,,CA-17 S,R,Santa Cruz,Santa Cruz,CA,95060,US,US/Pacific,KWVI,6/28/2020 10:53,60,60,72,29.68,10,SW,10,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
738530,A-738607,MapQuest,201,3,8/23/2020 12:22,8/23/2020 14:01,33.995586,-118.145134,,,0,#1 lane blocked due to accident on I-5 Northbound at Exit 128A Telegraph Rd.,,I-5 N,R,Los Angeles,Los Angeles,CA,90040,US,US/Pacific,KCQT,8/23/2020 12:52,88,88,55,29.66,6,CALM,0,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
1506310,A-1506416,MapQuest,201,2,3/5/2019 16:51,3/5/2019 17:20,29.702045,-95.277885,,,0,Accident on Broadway St at Loop Fwy.,,Broadway St,R,Houston,Harris,TX,77017,US,US/Central,KHOU,3/5/2019 16:53,50,,28,30.44,10,NNW,11.5,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
963906,A-964000,MapQuest-Bing,201,2,2/19/2020 23:49,2/20/2020 1:35,37.966282,-122.309402,,,0,Accident on San Pablo Dam Rd at Appian Way.,4103,Appian Way,L,El Sobrante,Contra Costa,CA,94803-2201,US,US/Pacific,KCCR,2/19/2020 23:53,47,47,63,30.05,10,CALM,0,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
